Queda Liquida (m),Potencia Turbina (MW),Rendimento Turbina (%)
41.9,71,0.765409774780286
42,71,0.764523162841791
42.1,71,0.763756027221674
42.2,71,0.763517608642572
42.3,71,0.763457183837921
42.4,71,0.761448593139679
42.5,71,0.761468963623041
42.6,71,0.761471633911163
42.7,71,0.761450881958019
42.8,71,0.761318435668974
42.9,71,0.761430969238292
43,71,0.761040267944364
43.1,71,0.761324844360362
43.2,71,0.760755844116239
43.3,71,0.76000000000001
43.4,71,0.76000000000001
43.5,71,0.76000000000001
43.6,71,0.76000000000001
41.9,164,0.930397796630988
42,164,0.930400543213083
42.1,164,0.930474090576294
42.2,164,0.93014610290546
42.3,164,0.93033302307134
42.4,164,0.93052017211919
42.5,164,0.930656890869252
42.6,164,0.930736694336046
42.7,164,0.930733718872176
42.8,164,0.930717315673932
42.9,164,0.930718688964945
43,164,0.931798858642676
43.1,164,0.932023620605626
43.2,164,0.93224159240732
43.3,164,0.932358093261809
43.4,164,0.933730010986416
43.5,164,0.933784561157312
43.6,164,0.933840560913169
43.7,164,0.933897857666097
43.8,164,0.933956298828204
43.9,164,0.934205093383866
44,164,0.934269638061598
44.1,164,0.934541854858471
44.2,164,0.934508132934641
44.3,164,0.934433975219853
44.4,164,0.934210968017646
44.5,164,0.934510498046941
44.6,164,0.93445449829108
44.7,164,0.934375915527406
44.8,164,0.934284057617248
44.9,164,0.934190368652403
45,164,0.934514923095815
45.1,164,0.933762893676814
45.2,164,0.933622665405328
45.3,164,0.933961715698295
45.4,164,0.933820037841849
45.5,164,0.934124069213917
45.6,164,0.933968963623096
45.7,164,0.933805541992235
45.8,164,0.933659744262742
45.9,164,0.933511505126998
46,164,0.933343276977634
46.1,164,0.933139343261762
46.2,164,0.932906951904339
46.3,164,0.933136138916056
46.4,164,0.932861938476602
46.5,164,0.932548217773476
46.6,164,0.932670593261756
46.7,164,0.932314147949255
46.8,164,0.931880798339879
46.9,164,0.931882019043003
47,164,0.931485290527377
47.1,164,0.93069519042972
47.2,164,0.930497817993148
47.3,164,0.930169219970734
47.4,164,0.930502014160232
47.5,164,0.930565032959059
47.6,164,0.930713195800809
47.7,164,0.930737075805737
47.8,164,0.927958679199245
47.9,164,0.927630691528301
48,164,0.927298355102564
48.1,164,0.926841583251978
48.2,164,0.926567459106424
48.3,164,0.926058349609398
48.4,164,0.925793151855491
48.5,164,0.925515060424826
48.6,164,0.925216903686544
48.7,164,0.924729843139712
48.8,164,0.924412689209004
48.9,164,0.92407012939455
49,164,0.923758163452167
49.1,164,0.923322448730486
49.2,164,0.923008956909197
49.3,164,0.922739181518529
49.4,164,0.922221221923844
49.5,164,0.921832046508805
49.6,164,0.921365280151382
49.7,164,0.920724411010757
49.8,164,0.920733795166029
49.9,164,0.920675354003919
50,164,0.919901580810559
50.1,164,0.91958564758302
50.2,164,0.919397354125988
50.3,164,0.919263000488252
50.4,164,0.919009704589854
50.5,164,0.918749389648447
50.6,164,0.918804473876963
50.7,164,0.918563385009774
50.8,164,0.918314895629891
50.9,164,0.918077621459969
51,164,0.917891311645477
51.1,164,0.917734375000007
51.2,164,0.917486724853522
51.3,164,0.917131271362311
51.4,164,0.917153625488287
51.5,164,0.916916275024419
51.6,164,0.916647186279302
51.7,164,0.916346740722661
51.8,164,0.916515502929692
51.9,164,0.916239089965824
52,164,0.915909042358365
52.1,164,0.915583953857425
52.2,164,0.915846710205081
52.3,164,0.914956283569338
52.4,164,0.914991531372072
52.5,164,0.914627609252931
52.6,164,0.914588088989259
52.7,164,0.914010620117188
52.8,164,0.913805236816407
52.9,164,0.91358200105959
53,164,0.913162536352815
53.1,164,0.913176574707031
53.2,164,0.912717361450195
53.3,164,0.912576599121093
53.4,164,0.912092056274413
53.5,164,0.911963195800779
53.6,164,0.911566390991176
53.7,164,0.911404953002928
53.8,164,0.91110473632809
53.9,164,0.91072555541992
54,164,0.910727005004847
54.1,164,0.910302963256833
54.2,164,0.909766159057614
54.3,164,0.90933685302734
54.4,164,0.909260101318356
54.5,164,0.908960800170894
54.6,164,0.908770141601558
54.7,164,0.908484115600582
54.8,164,0.908195190429683
54.9,164,0.908003768920894
55,164,0.907724609374995
55.1,164,0.90745986938476
55.2,164,0.907288055419916
55.3,164,0.907260360717768
55.4,164,0.906874237060541
55.5,164,0.906609344482447
55.6,164,0.906329879760736
55.7,164,0.906420059204095
55.8,164,0.906146545410149
55.9,164,0.905842132568322
56,164,0.905517272949212
56.1,164,0.904867019653313
56.2,164,0.904891052246087
56.3,164,0.904720840454124
56.4,164,0.904460525512688
56.5,164,0.904076766967766
56.6,164,0.903826751708976
56.7,164,0.903539047241203
56.8,164,0.903114318847648
56.9,164,0.902806701660148
57,164,0.902517166137687
57.1,164,0.902243499755851
57.2,164,0.902073669433585
57.3,164,0.901389999389668
57.4,164,0.900899581909199
57.5,164,0.900662918090811
57.6,164,0.900414962768574
57.7,164,0.899343872070304
57.8,164,0.89952247619628
57.9,164,0.899276885986346
58,164,0.898800964355459
58.1,164,0.898369293212881
58.2,164,0.897935180664053
58.3,164,0.897515640258779
58.4,164,0.897141647338858
58.5,164,0.896780090332022
58.6,164,0.896250686645498
58.7,164,0.89586181640624
58.8,164,0.895294876098623
58.9,164,0.894971694946279
59,164,0.894466094970719
59.1,164,0.894100036621084
59.2,164,0.893817520141591
59.3,164,0.893248062133753
59.4,164,0.89289077758788
59.5,164,0.891709976196279
59.6,164,0.891218795776357
59.7,164,0.890738525390615
59.8,164,0.890480117797841
59.9,164,0.889761276245107
60,164,0.889301452636708
56.5,256,0.930727005004884
56.6,256,0.930650482177735
56.7,256,0.930370025634699
56.8,256,0.93012496948242
56.9,256,0.930588531494072
57,256,0.930705795288016
57.1,256,0.931435317993028
57.2,256,0.93071662902825
57.3,256,0.930740509033067
57.4,256,0.930727157592637
57.5,256,0.93049392700188
